decision	bucket	name	url	status	items	stub_pct	freshness_h	reason
REJECT	iran_state_extra	ISNA English	https://en.isna.ir/rss		0	0		TIMEOUT
REJECT	iraq	Al-Sumaria	https://www.alsumaria.tv/rss	200	0	0		200 but no parseable items (likely HTML page)
REJECT	iraq	Kurdistan24 English	https://www.kurdistan24.net/en/feed/rss	200	0	0		200 but no parseable items (likely HTML page)
REJECT	iraq	Rudaw English	https://www.rudaw.net/english/rss	404	0	0		http 404
REJECT	iraq	Shafaq News English	https://shafaq.com/en/rss.xml	404	0	0		http 404
REJECT	italy	Corriere della Sera	https://xml2.corriereobjects.it/rss/homepage.xml	200	10	20.0	17355.5	stale: newest item 17356h old
REJECT	jordan	Al Ghad	https://alghad.com/feed/	404	0	0		http 404
REJECT	jordan	Roya News English	https://en.royanews.tv/rss	404	0	0		http 404
REJECT	kenya	Daily Nation Kenya	https://nation.africa/kenya/rss	404	0	0		http 404
REJECT	kenya	The Star Kenya	https://www.the-star.co.ke/rss/	404	0	0		http 404
REJECT	korea_north	KCNA Watch	https://kcnawatch.org/feed/	200	0	0		200 but no parseable items (likely HTML page)
REJECT	lebanon	Annahar	https://www.annahar.com/rss.aspx	200	0	0		200 but no parseable items (likely HTML page)
